SupplierID,SupplierName,RawMaterialBatchID,MaterialName,MaterialGrade,InitialQuantity,Unit,ReceiveDate,MachineID,MachineName,MachineType,LastMaintenanceDate,CustomerOrderID,CustomerName,OrderDate,ProductionOrderID,ComponentToProduce,QuantityToProduce,ScheduledStart,ScheduledEnd,Status,MaterialUsedBatchID,QuantityUsed,QualityCheckID,CheckTimestamp,Result,InspectorName
S-08,Precision Fasteners,RM-0015,Screw Blank,Zinc Plated,1779,pcs,28-01-2023,M-101,P1-CNC Lathe 1,Lathe,16-12-2022 02:54,C-501,Customer 146,14-01-2023 20:53,P1-23-1015,Component H5,212,05-02-2023 06:18,05-02-2023 23:18,Cancelled,RM-0015,100,QC-215,05-02-2023 23:30,Failed,Jane Smith
S-01,SteelCorp,RM-0016,Steel Sheet,SS-304,3699,kg,27-07-2025,M-103,P1-Wire Drawer 1,Drawer,21-06-2025 00:03,C-501,Customer 128,06-07-2025 05:27,P1-25-1016,Component A6,743,31-07-2025 02:18,01-08-2025 01:18,In Progress,RM-0016,1503,QC-216,08-01-2025 00:30,Failed,Peter Jones
S-02,AluWorks,RM-0017,Aluminum Ingot,6061 Alloy,2896,kg,18-04-2025,M-105,P1-Waterjet Cutter,Cutter,18-02-2025 20:23,C-501,Customer 141,16-04-2025 09:12,P1_25_1017,Component Z2,506,20-04-2025 23:18,21-04-2025 21:18,Completed,RM-0017,1632,QC-217,21-04-2025 20:31,Passed,Jane Smith
S-01,SteelCorp,RM-0018,Steel Sheet,Galvanized,2903,kg,11-08-2024,M-104,P1-Stamping Press 1,Press,06/27/2024,C-502,Customer 120,07-16-2024 11:39,P1-24-1018,Component Q8,73,16-08-2024 11:43,17-08-2024 01:43,Scheduled,,,,,,
S-04,PlasticPro,RM-0019,Nylon Granules,PA66,2.28E+03,KG,11-06-2024,M-103,P1-Wire Drawer 1,Drawer,13-05-2024 14:14,C-502,Customer 110,03-06-2024 22:52,P1-24-1019,Component K1,332,14-06-2024 05:37,14-06-2024 17:37,Completed,RM-0019,951,QC-219,14-06-2024 16:21,Passed,John Doe
S-06,Global Metals,RM-0020,Titanium Plate,Grade 9,4511,kg,21-01-2025,M-202,P2-Grinding Machine 5,Grinder,25-11-2024 15:45,C-502,Customer 100,09-01-2025 23:16,1020,Component Y4,924,27-01-2025 10:48,28-01-2025 01:48,Completed,RM-0020,4471,QC-220,28-01-2025 00:52,Passed,Mary Williams
S-01,SteelCorp,RM-0021,Steel Bar,Carbon Steel,2888,kg,14-02-2025,M-201,P2-Milling Machine 2,Mill,01-01-2025 10:59,C-502,Customer 59,23-01-2025 17:49,P2-25-1021,Component F7,515,17-02-2025 14:52,18-02-2025 10:52,Scheduled,,,,,,
S-06,Global Metals,RM-0022,Titanium Tube,Grade 1,2230,meter,12-02-2024,M-101,P1-CNC Lathe 1,Lathe,12/17/2023,C-502,Customer 54,01-31-2024 09:27,P1-24-1022,Component R2,488,17-02-2024 03:00,17-02-2024 19:00,In Progress,,,,,,
S-03,CopperCo,RM-0023,Copper Sheet,C101,2112,kg,18-04-2023,M-201,P2-Milling Machine 2,Mill,09-03-2023 03:22,C-502,Customer 118,13-04-2023 14:31,P2/23/1023,Component M3,332,26-04-2023 14:02,27-04-2023 06:02,Completed,RM-0023,1051,QC-223,27-04-2023 05:25,Passed,Peter Jones
S-08,Precision Fasteners,RM-0024,Nut Blank,Grade 8 Steel,2186,pcs,24-09-2024,M-101,P1-CNC Lathe 1,Lathe,16-07-2024 01:14,C-502,Customer 111,02-09-2024 18:37,1024,Component N6,316,27-09-2024 06:21,27-09-2024 15:21,Scheduled,,,,,,
S-01,SteelCorp,RM-0025,Steel Coil,Hot Rolled,3685,kg,14-01-2024,M-103,P1-Wire Drawer 1,Drawer,20-11-2023 03:32,C-502,Customer 105,25-12-2023 17:52,P1-24-1025,Component L4,539,16-01-2024 19:54,17-01-2024 08:54,Completed,RM-0025,1839,QC-225,17-01-2024 08:08,Passed,Jane Smith
S-02,Alu Works,RM-0026,Aluminum Sheet,5052-H32,3890,kg,25-11-2024,P1-WJC-01,P1-Waterjet Cutter,Cutter,09/25/2024,C-503,Customer 101,11-09-2024 07:12,P1_24_1026,Component O9,86,05-12-2024 13:06,06-12-2024 05:06,Quoted,,,,,,
S-01,SteelCorp,RM-0027,Steel Plate,A36,4479,kg,17-05-2025,M-104,P1-Stamping Press 1,Press,24-03-2025 18:31,C-503,Customer 77,09-05-2025 17:34,P1-25-1027,Component E1,979,24-05-2025 08:24,25-05-2025 08:24,Completed,RM-0027,3304,QC-227,25-05-2025 07:11,Passed,John Doe
S-04,PlasticPro,RM-0028,Polypropylene,Copolymer,3343,KG,23-03-2025,M-103,P1-Wire Drawer 1,Drawer,17-02-2025 19:51,C-503,Customer 103,03-03-2025 14:15,1028,Component G3,656,29-03-2025 08:23,30-03-2025 00:23,Scheduled,,,,,,
S-06,Global Metals,RM-0029,Titanium Rod,6AL-4V,2806,kg,21-01-2023,M-202,P2-Grinding Machine 5,Grinder,04-12-2022 17:41,C-503,Customer 70,13-01-2023 13:00,P2-23-1029,Component T8,485,28-01-2023 02:40,28-01-2023 12:40,Completed,RM-0029,2667,QC-229,28-01-2023 11:41,Passed,Mary Williams
S-01,SteelCorp,RM-0030,Steel Channel,C3x4.1,1176,ft,28-07-2025,M-201,P2-Milling Machine 2,Mill,18-06-2025 20:30,C-503,Customer 125,09-07-2025 23:44,P2-25-1030,Component Z7,213,01-08-2025 12:35,02-08-2025 01:35,In Progress,,,,,,
S-06,Global Metals,RM-0031,Titanium Fastener,Assorted,1579,pcs,12-03-2024,M-101,P1-CNC Lathe 1,Lathe,20-01-2024 18:22,C-503,Customer 83,18-02-2024 01:21,P1_24_1031,Component S4,206,17-03-2024 07:23,18-03-2024 01:23,Completed,RM-0031,880,QC-231,18-03-2024 00:39,Passed,Peter Jones
S-03,CopperCo,RM-0032,Copper Ingot,Pure Copper,4480,kg,13-05-2024,M-201,P2-Milling Machine 2,Mill,24-03-2024 15:43,C-503,Customer 91,20-04-2024 23:05,1032,Component V1,777,18-05-2024 11:37,19-05-2024 09:37,Scheduled,,,,,,
S-08,Precision Fasteners,RM-0033-C,Rivet Blank,Aluminum,1288,pcs,24-09-2025,M-101,P1-CNC Lathe 1,Lathe,07/15/2025,C-504,Customer 95,09-02-2025 15:53,P1-25-1033,Component B2,109,04-10-2025 14:15,05-10-2025 08:15,Cancelled,,,,,,"{'reason': 'Design change', 'approved_by': 'peterjones'}"
S-01,SteelCorp,RM-0034,Steel Tube,Square,2930,ft,13-01-2024,M-103,P1-Wire Drawer 1,Drawer,23-11-2023 04:32,C-504,Customer 136,19-12-2023 12:20,P1-24-1034,Component R7,479,17-01-2024 01:14,17-01-2024 19:14,Completed,RM-0034,1151,QC-234,17-01-2024 18:03,Passed,Jane Smith
S-02,AluWorks,RM-0035,Aluminum Bar,T6 Temper,1968,kg,25-11-2024,M-105,P1-Waterjet Cutter,Cutter,18-10-2024 19:54,C-504,Customer 114,13-11-2024 13:22,P1_24_1035,Component P3,374,29-11-2024 01:05,29-11-2024 23:05,Completed,RM-0035,1639,QC-235,29-11-2024 22:12,Passed,John Doe
S-01,SteelCorp,RM-0036,Steel Angle,L-shape,3777,ft,17-05-2025,M-104,P1-Stamping Press 1,Press,03/23/2025,C-504,Customer 133,04-25-2025 17:34,P1-25-1036,Component J9,86,24-05-2025 13:28,25-05-2025 04:28,Scheduled,,,,,,
S-04,PlasticPro,RM-0037,PVC Sheet,Rigid,1134,kg,16-07-2024,M-103,P1-Wire Drawer 1,Drawer,03-06-2024 07:11,C-504,Customer 88,25-06-2024 04:41,1037,Component D7,109,20-07-2024 12:35,21-07-2024 02:35,Completed,RM-0037,422,QC-237,21-07-2024 01:21,Passed,Mary Williams
S-06,Global Metals,RM-0038,Titanium Wire,Grade 4,2059,m,18-04-2024,M-202,P2-Grinding Machine 5,Grinder,08-03-2024 17:42,C-504,Customer 109,27-03-2024 21:04,P2-24-1038,Component U6,423,22-04-2024 09:27,23-04-2024 04:27,Completed,RM-0038,2021,QC-238,23-04-2024 03:31,Passed,Peter Jones
S-01,SteelCorp,RM-0039,Steel I-Beam,S4x7.7,4601,ft,28-01-2024,M-201,P2-Milling Machine 2,Mill,07-12-2023 10:27,C-504,Customer 127,08-01-2024 09:44,P2-24-1039,Component C6,857,05-02-2024 03:07,06-02-2024 00:07,In Progress,,,,,,
S-06,Global Metals,RM-0040,Titanium Powder,CP-Ti,4347,kg,13-02-2024,M-101,P1-CNC Lathe 1,Lathe,28-12-2023 17:10,C-505,Customer 79,19-01-2024 12:39,P1_24_1040,Component W2,785,18-02-2024 10:28,19-02-2024 09:28,Completed,RM-0040,4322,QC-240,19-02-2024 08:35,Passed,Jane Smith
S-03,CopperCo,RM-0041,Copper Rod,C102,1526,kg,23-Jan-20,M-201,P2-Milling Machine 2,Mill,15-12-2022 15:43,C-505,Customer 92,10-01-2023 13:58,1041,Component V9,228,24-01-2023 09:12,24-01-2023 19:12,Scheduled,,,,,,Invalid date format
S-08,Precision Fasteners,RM-0042,Washer Blank,Stainless 18-8,3284,pcs,24-09-2024,M-101,P1-CNC Lathe 1,Lathe,11-08-2024 11:15,C-505,Customer 112,03-09-2024 10:49,P1-24-1042,Component H2,492,29-09-2024 02:44,29-09-2024 17:44,Completed,RM-0042,1680,QC-242,29-09-2024 16:51,Passed,John Doe
S-01,SteelCorp,RM-0043,Steel Scrap,Mixed,1551,kg,13-01-2024,M-103,P1-Wire Drawer 1,Drawer,10-12-2023 03:19,C-505,Customer 138,23-12-2023 10:14,P1-24-1043,Component A1,281,16-01-2024 00:23,16-01-2024 13:23,Rework Required,RM-0043,621,QC-243,16-01-2024 12:21,Failed,Mary Williams
S-02,AluWorks,RM-0044,Aluminum Extrusion,Custom Profile,2758,ft,25-11-2024,M-105,P1-Waterjet Cutter,Cutter,10-01-2024,C-505,Customer 149,10-29-2024 07:12,P1_24_1044,Component Z8,531,04-12-2024 03:04,05-12-2024 00:04,Quoted,,,,,,
S-01,SteelCorp,RM-0045,Steel Billet,1018 Carbon,2509,kg,17-05-2025,M-104,P1-Stamping Press 1,Press,12-04-2025 18:31,C-505,Customer 129,02-05-2025 20:34,P1-25-1045,Component Q2,491,23-05-2025 08:34,24-05-2025 08:34,Completed,RM-0045,2166,QC-245,24-05-2025 07:29,Passed,Peter Jones
S-04,PlasticPro,RM-0046,ABS Pellets,Black,4680,KG,16-07-2024,M-103,P1-Wire Drawer 1,Drawer,03-06-2024 12:20,C-505,Customer 89,25-06-2024 04:41,1046,Component K7,86,22-07-2024 09:23,23-07-2024 04:23,Scheduled,,,,,,
S-01,SteelCorp,RM-0027,Steel Plate,A36,4479,kg,17-05-2025,M-104,P1-Stamping Press 1,Press,24-03-2025 18:31,C-503,Customer 77,09-05-2025 17:34,P1-25-1027,Component E1,979,24-05-2025 08:24,25-05-2025 08:24,Completed,,,,,,Conflicting duplicate record - missing material and QC
S-06,Global Metals,RM-0047,Titanium Ingot,Ti-6Al-4V,2705,kg,18-04-2024,M-202,P2-Grinding Machine 5,Grinder,01-03-2024 17:42,C-506,Customer 135,27-03-2024 21:04,P2-24-1047,Component Y8,485,25-04-2024 06:18,26-04-2024 00:18,Completed,RM-0047,1598,QC-247,25-04-2024 23:21,Passed,Jane Smith
S-01,SteelCorp,RM-0048,Steel Wire Rod,High Carbon,3257,m,28-01-2024,M-201,P2-Milling Machine 2,Mill,19-12-2023 12:20,C-506,Customer 140,08-01-2024 09:44,P2-24-1048,Component F2,605,04-02-2024 13:02,05-02-2024 06:02,Completed,RM-0048,2291,QC-248,05-02-2024 05:08,Passed,John Doe
S-06,Global Metals,RM-0049,Titanium Scrap,Mixed Grades,1212,kg,13-02-2024,M-101,P1-CNC Lathe 1,Lathe,28-12-2023 17:10,C-506,Customer 113,26-01-2024 12:39,P1_24_1049,Component C4,206,21-02-2024 07:11,22-02-2024 00:11,In Progress,,,,,,
S-03,CopperCo,RM-0050,Copper Wire Bar,ETP,3373,kg,25-11-2025,M-201,P2-Milling Machine 2,Mill,10/21/2025,C-506,Customer 134,11-04-2025 18:05,1050,Component X1,617,05-12-2025 07:54,05-12-2025 20:54,Scheduled,,,,,,ETP = Electrolytic Tough Pitch
S-08,Precision Fasteners,RM-0051,Hex Nut Blank,M10,1837,pcs,28-01-2023,M-101,P1-CNC Lathe 1,Lathe,14-12-2022 02:54,C-506,Customer 56,14-01-2023 20:53,P1-23-1051,Component H9,267,01-02-2023 02:12,01-02-2023 20:12,Completed,RM-0051,957,QC-251,01-02-2023 19:15,Passed,Mary Williams
S-01,SteelCorp,RM-0052,Steel Pipe,Schedule 40,2484,ft,27-07-2025,M-103,P1-Wire Drawer 1,Drawer,19-06-2025 00:03,C-506,Customer 78,06-07-2025 05:27,P1-25-1052,Component A5,429,31-07-2025 10:11,01-08-2025 00:11,Completed,RM-0052,1435,QC-252,31-07-2025 23:22,Passed,Peter Jones
S-02,AluWorks,RM-0053,Aluminum Coil,3003-H14,4025,kg,18-04-2025,M-105,P1-Waterjet Cutter,Cutter,17-02-2025 20:23,C-506,Customer 148,16-04-2025 09:12,P1_25_1053,Component Z4,784,21-04-2025 00:14,22-04-2025 00:14,Scheduled,,,,,,
S-01,SteelCorp,RM-0054,Steel Sheet Pile,PZ-27,4728,kg,11-08-2024,M-104,P1-Stamping Press 1,Press,25-06-2024 11:39,C-507,Customer 68,16-07-2024 11:39,P1-24-1054,Component Q4,978,18-08-2024 10:43,19-08-2024 10:43,Completed,RM-0054,4115,QC-254,19-08-2024 09:39,Passed,Jane Smith
S-04,PlasticPro,RM-0055,HDPE Granules,Injection Grade,2127,KG,11-06-2024,M-103,P1-Wire Drawer 1,Drawer,29-04-2024 14:14,C-507,Customer 144,24-05-2024 22:52,P1-24-1055,Component K4,312,18-06-2024 01:31,18-06-2024 13:31,In Progress,,,,,,
S-06,Global Metals,RM-0056,Titanium Bar,CP Grade 2,2170,kg,21-01-2025,M-202,P2-Grinding Machine 5,Grinder,07-12-2024 15:45,C-507,Customer 121,09-01-2025 23:16,1056,Component Y1,407,29-01-2025 02:44,29-01-2025 15:44,Completed,RM-0056,1288,QC-256,29-01-2025 14:52,Passed,John Doe
S-01,SteelCorp,RM-0057,Steel Plate,AR400,1055,kg,14-02-2025,M-201,P2-Milling Machine 2,Mill,13-01-2025 10:59,C-507,Customer 116,23-01-2025 17:49,P2-25-1057,Component F9,190,21-02-2025 02:45,21-02-2025 17:45,Scheduled,,,,,,
S-06,Global Metals,RM-0058,Titanium Sheet,Grade 7,4283,kg,12-02-2024,M-101,P1-CNC Lathe 1,Lathe,17-12-2023 09:27,C-507,Customer 96,31-01-2024 09:27,P1-24-1058,Component R8,944,20-02-2024 02:13,21-02-2024 02:13,Completed,RM-0058,4023,QC-258,21-02-2024 01:21,Passed,Mary Williams
S-03,CopperCo,RM-0059,Copper Plate,C110 H02,3269,kg,18-04-2023,M-201,P2-Milling Machine 2,Mill,09-03-2023 03:22,C-507,Customer 71,13-04-2023 14:31,P2/23/1059,Component M8,523,21-04-2023 11:02,22-04-2023 05:02,Completed,RM-0059,2045,QC-259,22-04-2023 04:15,Passed,Peter Jones
S-08,Precision Fasteners,RM-0060,Lock Washer,Internal Tooth,1603,pcs,24-09-2024,M-101,P1-CNC Lathe 1,Lathe,01-08-2024 01:14,C-507,Customer 124,02-09-2024 18:37,1060,Component N2,234,02-10-2024 01:14,02-10-2024 12:14,Scheduled,,,,,,
S-01,SteelCorp,RM-0061,Steel Bar,Rebar #4,3122,ft,14-01-2024,M-103,P1-Wire Drawer 1,Drawer,04-12-2023 03:32,C-508,Customer 67,25-12-2023 17:52,P1-24-1061,Component L8,502,21-01-2024 14:52,22-01-2024 08:52,Completed,RM-0061,1689,QC-261,22-01-2024 07:59,Passed,Jane Smith
S-02,AluWorks,RM-0062,Aluminum Tube,6063-T5,4046,ft,25-11-2024,M-105,P1-Waterjet Cutter,Cutter,09/25/2024,C-508,Customer 58,11-09-2024 07:12,P1_24_1062,Component O3,822,04-12-2024 02:04,05-12-2024 02:04,Quoted,,,,,,
S-01,SteelCorp,RM-0063,Steel Coil,Cold Rolled,2956,kg,17-05-2025,M-104,P1-Stamping Press 1,Press,24-03-2025 18:31,C-508,Customer 142,09-05-2025 17:34,P1-25-1063,Component E6,635,20-05-2025 02:14,20-05-2025 22:14,Completed,RM-0063,2228,QC-263,20-05-2025 21:31,Passed,John Doe
S-04,PlasticPro,RM-0064,LDPE Film,Natural,1780,kg,23-03-2025,M-103,P1-Wire Drawer 1,Drawer,19-02-2025 19:51,C-508,Customer 81,03-03-2025 14:15,1064,Component G8,328,27-03-2025 02:11,27-03-2025 16:11,Scheduled,,,,,,
S-06,Global Metals,RM-0065,Titanium Foil,0.1mm,4101,m,21-01-2023,M-202,P2-Grinding Machine 5,Grinder,06-12-2022 17:41,C-508,Customer 131,13-01-2023 13:00,P2-23-1065,Component T4,769,26-01-2023 01:21,26-01-2023 18:21,Completed,RM-0065,3021,QC-265,26-01-2023 17:15,Passed,Mary Williams
S-01,SteelCorp,RM-0066,Steel H-Pile,HP12x53,4951,ft,28-07-2025,M-201,P2-Milling Machine 2,Mill,18-06-2025 20:30,C-508,Customer 60,09-07-2025 23:44,P2-25-1066,Component Z3,999,05-08-2025 01:24,06-08-2025 01:24,In Progress,,,,,,
S-06,Global Metals,RM-0067,Titanium Mesh,Woven,4130,sq ft,12-03-2024,M-101,P1-CNC Lathe 1,Lathe,20-01-2024 18:22,C-508,Customer 75,18-02-2024 01:21,P1_24_1067,Component S8,86,20-03-2024 02:11,20-03-2024 19:11,Completed,RM-0067,2435,QC-267,20-03-2024 18:21,Passed,Peter Jones
S-03,CopperCo,RM-0068,Copper Foil,0.05mm,2731,m,13-05-2024,M-201,P2-Milling Machine 2,Mill,01-04-2024 15:43,C-509,Customer 143,20-04-2024 23:05,1068,Component V6,455,21-05-2024 01:23,21-05-2024 21:23,Scheduled,,,,,,
S-08,Precision Fasteners,RM-0069,Carriage Bolt,Round Head,1551,pcs,24-09-2025,M-101,P1-CNC Lathe 1,Lathe,03-08-2025 11:15,C-509,Customer 63,02-09-2025 15:53,P1-25-1069,Component B6,218,01-10-2025 02:05,01-10-2025 16:05,Completed,RM-0069,901,QC-269,01-10-2025 15:21,Passed,Jane Smith
S-01,SteelCorp,RM-0070,Steel T-Beam,WT5x6,2335,ft,13-01-2024,M-103,P1-Wire Drawer 1,Drawer,23-11-2023 04:32,C-509,Customer 66,19-12-2023 12:20,P1-24-1070,Component R3,401,17-01-2024 10:11,18-01-2024 00:11,Cancelled,,,,,,
S-02,AluWorks,RM-0071,Aluminum Plate,Cast Tooling,1622,kg,25-11-2024,M-105,P1-Waterjet Cutter,Cutter,18-10-2024 19:54,C-509,Customer 61,13-11-2024 13:22,P1_24_1071,Component P8,303,03-12-2024 23:54,04-12-2024 16:54,Completed,RM-0071,1102,QC-271,04-12-2024 15:43,Passed,John Doe
S-01,SteelCorp,RM-0072,Steel Round Bar,Cold Finished,2828,kg,17-05-2025,M-104,P1-Stamping Press 1,Press,03-04-2025 18:31,C-509,Customer 65,25-04-2025 17:34,P1-25-1072,Component J3,546,22-05-2025 01:21,22-05-2025 17:21,Scheduled,,,,,,
S-04,PlasticPro,RM-0073,PETG Filament,Translucent,4699,m,16-07-2024,M-103,P1-Wire Drawer 1,Drawer,03-06-2024 07:11,C-509,Customer 64,25-06-2024 04:41,1073,Component D2,953,24-07-2024 23:23,25-07-2024 17:23,Completed,RM-0073,3481,QC-273,25-07-2024 16:21,Passed,Mary Williams
S-06,Global Metals,RM-0074,Titanium Plate,AMS 4911,4601,kg,18-04-2024,M-202,P2-Grinding Machine 5,Grinder,08-03-2024 17:42,C-509,Customer 98,27-03-2024 21:04,P2-24-1074,Component U9,994,21-04-2024 00:23,21-04-2024 21:23,Completed,RM-0074,3831,QC-274,21-04-2024 20:31,Passed,Peter Jones
S-01,SteelCorp,RM-0075,Steel Square Bar,Hot Rolled,3849,kg,28-01-2024,M-201,P2-Milling Machine 2,Mill,07-12-2023 10:27,C-510,Customer 147,08-01-2024 09:44,P2-24-1075,Component C2,746,06-02-2024 02:44,06-02-2024 23:44,In Progress,RM-0075,1789,QC-275,06-02-2024 22:51,Failed,Jane Smith
S-06,Global Metals,RM-0076,Titanium Hex Bar,Grade 2,1360,kg,13-02-2024,M-101,P1-CNC Lathe 1,Lathe,28-12-2023 17:10,C-510,Customer 122,19-01-2024 12:39,P1_24_1076,Component W6,262,18-02-2024 10:17,19-02-2024 01:17,Completed,RM-0076,1081,QC-276,19-02-2024 00:35,Passed,John Doe
S-03,CopperCo,RM-0077,Copper Tube,ACR,4839,m,20-01-2023,M-201,P2-Milling Machine 2,Mill,15-12-2022 15:43,C-510,Customer 93,10-01-2023 13:58,1077,Component V3,989,26-01-2023 23:25,27-01-2023 15:25,Scheduled,,,,,,
S-08,Precision Fasteners,RM-0078,Socket Cap Screw,Alloy Steel,1121,pcs,24-09-2024,M-101,P1-CNC Lathe 1,Lathe,11-08-2024 11:15,C-510,Customer 84,03-09-2024 10:49,P1-24-1078,Component H6,192,02-10-2024 01:21,02-10-2024 14:21,Completed,RM-0078,575,QC-278,02-10-2024 13:21,Passed,Mary Williams
S-02,AluWorks,RM-0079,Aluminum Angle,6061-T6,3587,ft,25-11-2024,M-105,P1-Waterjet Cutter,Cutter,10-01-2024,C-510,Customer 117,10-29-2024 07:12,P1_24_1079,Component Z1,701,05-12-2024 23:18,06-12-2024 18:18,Quoted,,,,,,
S-01,SteelCorp,RM-0080,Steel Flat Bar,3/16 inch,1931,kg,17-05-2025,M-104,P1-Stamping Press 1,Press,12-04-2025 18:31,C-510,Customer 69,02-05-2025 20:34,P1-25-1080,Component Q6,373,22-05-2025 01:24,22-05-2025 20:24,Completed,RM-0080,1118,QC-280,22-05-2025 19:35,Passed,Peter Jones
S-04,PlasticPro,RM-0081,Acetal Copolymer,Natural,2853,KG,16-07-2024,M-103,P1-Wire Drawer 1,Drawer,03-06-2024 12:20,C-510,Customer 137,25-06-2024 04:41,1081,Component K3,546,19-07-2024 12:47,20-07-2024 07:47,Scheduled,,,,,,
S-06,Global Metals,RM-0082,Titanium Round Bar,Grade 23,3717,kg,18-04-2024,M-202,P2-Grinding Machine 5,Grinder,01-03-2024 17:42,C-511,Customer 85,27-03-2024 21:04,P2-24-1082,Component Y2,714,23-04-2024 23:14,24-04-2024 16:14,Completed,RM-0082,2468,QC-282,24-04-2024 15:31,Passed,Jane Smith
S-01,SteelCorp,RM-0083,Steel Hex Bar,1045,4711,kg,28-01-2024,M-201,P2-Milling Machine 2,Mill,19-12-2023 12:20,C-511,Customer 99,08-01-2024 09:44,P2-24-1083,Component F6,913,01-02-2024 11:34,02-02-2024 05:34,Completed,RM-0083,3468,QC-283,02-02-2024 04:44,Passed,John Doe
